artist1,artist1_normalized,artist2,artist2_normalized,shows_together
FINALS! The Band West,finals! the band west,Good Honest Effort,good honest effort,1
FINALS! The Band West,finals! the band west,Young,young,1
FINALS! The Band West,finals! the band west,Strange Family,strange family,1
FINALS! The Band West,finals! the band west,Pando,pando,1
The New Electric Sound,the new electric sound,VanLadyLove,vanladylove,1
The Neighbors,the neighbors,VanLadyLove,vanladylove,1
Jay W. Henderson),jay w. henderson),POLYTYPE,polytype,1
POLYTYPE,polytype,Rooftop Concert Series: FREE! (Joshua James,rooftop concert series: free! (joshua james,1
Jay W. Henderson),jay w. henderson),Rooftop Concert Series: FREE! (Joshua James,rooftop concert series: free! (joshua james,1
Sonsapapa,sonsapapa,Summer Thunder,summer thunder,1
Box Trained Caps,box trained caps,Summer Thunder,summer thunder,1
Toy Bombs,toy bombs,VanLadyLove,vanladylove,1
Cameron the Public,cameron the public,VanLadyLove,vanladylove,1
Mad Max,mad max,The Bectics,the bectics,1
"David Rythm""Mix Tape Release","david rythm""mix tape release",Makisi,makisi,1
Chris Bennion,chris bennion,INDIES 9:The Brocks,indies 9:the brocks,1
Chris Bennion,chris bennion,Quiet House,quiet house,1
Chris Bennion,chris bennion,Cowboys,cowboys,1
INDIES 9:The Brocks,indies 9:the brocks,Isaac Russell,isaac russell,1
Isaac Russell,isaac russell,Quiet House,quiet house,1
Cowboys,cowboys,Isaac Russell,isaac russell,1
Chris Bennion,chris bennion,Isaac Russell,isaac russell,1
Makisi,makisi,Natural Roots,natural roots,1
Natural Roots,natural roots,Sione Toki,sione toki,1
Makisi,makisi,Sione Toki,sione toki,1
"David Rythm""Mix Tape Release","david rythm""mix tape release",Natural Roots,natural roots,1
"David Rythm""Mix Tape Release","david rythm""mix tape release",Sione Toki,sione toki,1
Cowboys,cowboys,INDIES 9:The Brocks,indies 9:the brocks,1
Adam Derfler,adam derfler,John Schultz,john schultz,1
John Schultz,john schultz,Monthly Acoustic Showcase: Matt Hopper,monthly acoustic showcase: matt hopper,1
Adam Derfler,adam derfler,Monthly Acoustic Showcase: Matt Hopper,monthly acoustic showcase: matt hopper,1
Salazar,salazar,The Circulars,the circulars,1
Diatom,diatom,Salazar,salazar,1
Diatom,diatom,The Circulars,the circulars,1
Mad Max,mad max,Queenadilla. Jack Pines,queenadilla. jack pines,1
Queenadilla. Jack Pines,queenadilla. jack pines,the Wild Ones,the wild ones,1
King Darius,king darius,NA-G,na-g,1
Date Night,date night,NA-G,na-g,1
Date Night,date night,King Darius,king darius,1
Cowboys,cowboys,Quiet House,quiet house,1
INDIES 9:The Brocks,indies 9:the brocks,Quiet House,quiet house,1
Flannel Graph,flannel graph,June Cat,june cat,1
Haley Hendrickson,haley hendrickson,Nicholas Allen,nicholas allen,1
Brittany Joell,brittany joell,NA-G,na-g,1
Brittany Joell,brittany joell,NED,ned,1
Emily Brown,emily brown,Michael Bradford,michael bradford,1
Jack Pines,jack pines,Old,old,1
Jack Pines,jack pines,Young,young,1
Flannel Graph,flannel graph,Strange Family,strange family,1
Branson Anderson,branson anderson,Michael Radford,michael radford,1
Branson Anderson,branson anderson,Mathew Skaggs,mathew skaggs,1
Mathew Skaggs,mathew skaggs,Michael Radford,michael radford,1
Brady,brady,Sydney,sydney,1
Kat Roemer,kat roemer,Katie Forbes,katie forbes,1
Haley Hendrickson,haley hendrickson,Jordan Clark,jordan clark,1
INDIES 9:Westward the Tide,indies 9:westward the tide,Timmy The Teeth,timmy the teeth,1
Jordan Clark,jordan clark,Nicholas Allen,nicholas allen,1
Acoustic Showcase: Pat Boyer,acoustic showcase: pat boyer,Haley Hendrickson,haley hendrickson,1
Acoustic Showcase: Pat Boyer,acoustic showcase: pat boyer,Nicholas Allen,nicholas allen,1
Acoustic Showcase: Pat Boyer,acoustic showcase: pat boyer,Jordan Clark,jordan clark,1
Cowboys,cowboys,Deadtooth,deadtooth,1
Cowboys,cowboys,Seve vs Evan,seve vs evan,1
Deadtooth,deadtooth,Timmy The Teeth,timmy the teeth,1
Seve vs Evan,seve vs evan,Timmy The Teeth,timmy the teeth,1
Deadtooth,deadtooth,INDIES 9:Westward the Tide,indies 9:westward the tide,1
INDIES 9:Westward the Tide,indies 9:westward the tide,Seve vs Evan,seve vs evan,1
Cowboys,cowboys,INDIES 9:Westward the Tide,indies 9:westward the tide,1
Dreamcatcher,dreamcatcher,Suit Up Soldier,suit up soldier,1
Suit Up Soldier,suit up soldier,The Heartstrings,the heartstrings,1
Dreamcatcher,dreamcatcher,The Heartstrings,the heartstrings,1
As We Speak,as we speak,Woonded,woonded,1
"Somewhere Under the Radar"" Paul Travis","somewhere under the radar"" paul travis",Tess Comrie,tess comrie,1
Devin Powell,devin powell,Tess Comrie,tess comrie,1
Devin Powell,devin powell,"Somewhere Under the Radar"" Paul Travis","somewhere under the radar"" paul travis",1
Allie Holman,allie holman,Tess Comrie,tess comrie,1
Allie Holman,allie holman,"Somewhere Under the Radar"" Paul Travis","somewhere under the radar"" paul travis",1
Allie Holman,allie holman,Devin Powell,devin powell,1
Blue Aces,blue aces,Kenzie Nimmo,kenzie nimmo,1
Festive People,festive people,Maer,maer,1
Maer,maer,Spirit City,spirit city,1
NED,ned,Woonded,woonded,1
As We Speak,as we speak,NED,ned,1
Grey Glass,grey glass,NED,ned,1
Shakedown at the Majestic,shakedown at the majestic,Suit Up Soldier,suit up soldier,1
Grey Glass,grey glass,Woonded,woonded,1
As We Speak,as we speak,Grey Glass,grey glass,1
L'anarchiste,l'anarchiste,Violet Waves,violet waves,1
Dustin Christensen,dustin christensen,Marcus Bently,marcus bently,1
Dustin Christensen,dustin christensen,Emily Vienna,emily vienna,1
Emily Vienna,emily vienna,Marcus Bently,marcus bently,1
Dustin Christensen,dustin christensen,Stephanie Mabey,stephanie mabey,1
Marcus Bently,marcus bently,Stephanie Mabey,stephanie mabey,1
Emily Vienna,emily vienna,Stephanie Mabey,stephanie mabey,1
Deadtooth,deadtooth,EYES LIPS EYES CD/Final Show! Coral Bones,eyes lips eyes cd/final show! coral bones,1
Kassidy Walker,kassidy walker,Mia Grace,mia grace,1
Midas Whale,midas whale,Pando,pando,1
Faded Paper Figures,faded paper figures,Mount Saint,mount saint,1
"27""Hope For Jamie Benefit"" Ocean Commotion","27""hope for jamie benefit"" ocean commotion",Okkah,okkah,1
"27""Hope For Jamie Benefit"" Ocean Commotion","27""hope for jamie benefit"" ocean commotion",Paper Guns,paper guns,1
Dreamcatcher,dreamcatcher,Shakedown at the Majestic,shakedown at the majestic,1
Shakedown at the Majestic,shakedown at the majestic,The Heartstrings,the heartstrings,1
Grizzly Goat,grizzly goat,Woodward Avenue,woodward avenue,1
Grizzly Goat,grizzly goat,The Coin in the Sea,the coin in the sea,1
The Coin in the Sea,the coin in the sea,Woodward Avenue,woodward avenue,1
Garret Williams,garret williams,VanLadyLove,vanladylove,1
Garret Williams,garret williams,RKDN,rkdn,1
RKDN,rkdn,VanLadyLove,vanladylove,1
Night Wings,night wings,Sen Wisher,sen wisher,1
Ashley Hess,ashley hess,Richie Kissinger,richie kissinger,1
Jake Justice,jake justice,Richie Kissinger,richie kissinger,1
Ashley Hess,ashley hess,Jake Justice,jake justice,1
Static Waves,static waves,Velour Halloween Show! Luna Lune,velour halloween show! luna lune,1
Barsie,barsie,Velour Halloween Show! Luna Lune,velour halloween show! luna lune,1
Barsie,barsie,Static Waves,static waves,1
Acoustic Showcase: James Dawson,acoustic showcase: james dawson,Michael Radford,michael radford,1
Acoustic Showcase: James Dawson,acoustic showcase: james dawson,Ben Reneer,ben reneer,1
Ben Reneer,ben reneer,Michael Radford,michael radford,1
Acoustic Showcase: James Dawson,acoustic showcase: james dawson,Michael Bradford,michael bradford,1
Michael Bradford,michael bradford,Michael Radford,michael radford,1
Ben Reneer,ben reneer,Michael Bradford,michael bradford,1
"Hope For Jamie Benefit"" Ocean Commotion","hope for jamie benefit"" ocean commotion",Paper Guns,paper guns,1
"Hope For Jamie Benefit"" Ocean Commotion","hope for jamie benefit"" ocean commotion",Okkah,okkah,1
NA-G,na-g,NED,ned,1
Haarlem,haarlem,The Flame,the flame,1
Haarlem,haarlem,VELOUR 9 YEAR ANNIVERSARY! The Moth,velour 9 year anniversary! the moth,1
Mojave Nomads,mojave nomads,Queenadilla,queenadilla,1
Go Suburban,go suburban,Kenz Hall,kenz hall,1
Go Suburban,go suburban,Grey Glass,grey glass,1
Grey Glass,grey glass,Kenz Hall,kenz hall,1
Amber Lynn,amber lynn,"Jordan Reynolds ""EP Release","jordan reynolds ""ep release",1
Jefferson,jefferson,"Jordan Reynolds ""EP Release","jordan reynolds ""ep release",1
Amber Lynn,amber lynn,Jefferson,jefferson,1
"Jordan Reynolds ""EP Release","jordan reynolds ""ep release",York,york,1
Amber Lynn,amber lynn,York,york,1
Jefferson,jefferson,York,york,1
Mojave Nomads,mojave nomads,The Echo Era,the echo era,1
Queenadilla,queenadilla,The Echo Era,the echo era,1
Festive People,festive people,Less Than Three,less than three,1
Kit Fox,kit fox,Shrink The Giant,shrink the giant,1
Less Than Three,less than three,Naked Waiters,naked waiters,1
Festive People,festive people,Naked Waiters,naked waiters,1
JOURNAL JAM! (Funny childhood/teen Journal entrees,journal jam! (funny childhood/teen journal entrees,stories,stories,1
JOURNAL JAM! (Funny childhood/teen Journal entrees,journal jam! (funny childhood/teen journal entrees,songs),songs),1
songs),songs),stories,stories,1
Emily Brown,emily brown,Mia Grace,mia grace,1
Mia Grace,mia grace,Stephanie Mabey,stephanie mabey,1
Emily Brown,emily brown,Stephanie Mabey,stephanie mabey,1
Les Femmes De Velour:Jenn Blosil,les femmes de velour:jenn blosil,Mia Grace,mia grace,1
Emily Brown,emily brown,Les Femmes De Velour:Jenn Blosil,les femmes de velour:jenn blosil,1
Les Femmes De Velour:Jenn Blosil,les femmes de velour:jenn blosil,Stephanie Mabey,stephanie mabey,1
Claire Elise,claire elise,Jodie Skidmore,jodie skidmore,1
Brad Knutson,brad knutson,Claire Elise,claire elise,1
Claire Elise,claire elise,TerraQ,terraq,1
Brad Knutson,brad knutson,Jodie Skidmore,jodie skidmore,1
Jack Pines,jack pines,The Bectics,the bectics,1
City of Salt,city of salt,Mad Max,mad max,1
City of Salt,city of salt,Jack Pines,jack pines,1
City of Salt,city of salt,The Bectics,the bectics,1
Jack Pines,jack pines,the Wild Ones,the wild ones,1
The Bectics,the bectics,the Wild Ones,the wild ones,1
City of Salt,city of salt,the Wild Ones,the wild ones,1
Brumby,brumby,Forest Eyes,forest eyes,1
Forest Eyes,forest eyes,Westward The Tide,westward the tide,1
Baby New Year,baby new year,NED,ned,1
100 Mile House,100 mile house,Baby New Year,baby new year,1
100 Mile House,100 mile house,NED,ned,1
Mount Saint,mount saint,Two Nations,two nations,1
Grandparents,grandparents,Sego,sego,1
Das Nix,das nix,James Allen Spirit,james allen spirit,1
Das Nix,das nix,Violet Waves,violet waves,1
James Allen Spirit,james allen spirit,Violet Waves,violet waves,1
Haarlem,haarlem,I/O,i/o,1
Kindred Dead,kindred dead,Spirit City,spirit city,1
LOXS,loxs,Spirit City,spirit city,1
Kindred Dead,kindred dead,LOXS,loxs,1
Brad Knutson,brad knutson,TerraQ,terraq,1
Jodie Skidmore,jodie skidmore,TerraQ,terraq,1
Les Femmes De Velour: Luna Lune,les femmes de velour: luna lune,Shrink The Giant,shrink the giant,1
Kit Fox,kit fox,Les Femmes De Velour: Luna Lune,les femmes de velour: luna lune,1
Haarlem,haarlem,Sego,sego,1
Night Argent,night argent,RKDN,rkdn,1
Allred,allred,Brittney Snyder,brittney snyder,1
Active Strand,active strand,Tri-Polar Bear,tri-polar bear,1
Barsie,barsie,Luna Lune,luna lune,1
Aubrey Auclair,aubrey auclair,Cherish Degraaf,cherish degraaf,1
Luna Lune,luna lune,Spirit City,spirit city,1
Giraffic Jam,giraffic jam,Nate Pyfer,nate pyfer,1
Giraffic Jam,giraffic jam,Jeff Stone,jeff stone,1
Jeff Stone,jeff stone,Nate Pyfer,nate pyfer,1
Coastal,coastal,Mideau,mideau,1
Bat Manors,bat manors,Mideau,mideau,1
Bat Manors,bat manors,Coastal,coastal,1
Night Argent,night argent,Static Waves,static waves,1
Blue Aces,blue aces,Shrink The Giant,shrink the giant,1
Jared Harding,jared harding,Peter Harper,peter harper,1
Cory Mon,cory mon,Jared Harding,jared harding,1
Charles Ellsworth/Vincent Draper,charles ellsworth/vincent draper,CrazyOldMaurice,crazyoldmaurice,1
CrazyOldMaurice,crazyoldmaurice,Steel Born Buffalo,steel born buffalo,1
Charles Ellsworth/Vincent Draper,charles ellsworth/vincent draper,Steel Born Buffalo,steel born buffalo,1
The Brocks,the brocks,VELOUR 9 YEAR ANNIVERSARY! The New Electric Sound,velour 9 year anniversary! the new electric sound,1
Mount Saint,mount saint,The Brocks,the brocks,1
Mount Saint,mount saint,VELOUR 9 YEAR ANNIVERSARY! The New Electric Sound,velour 9 year anniversary! the new electric sound,1
Sego,sego,VELOUR 9 YEAR ANNIVERSARY! The Moth,velour 9 year anniversary! the moth,1
Sego,sego,The Flame,the flame,1
The Flame,the flame,VELOUR 9 YEAR ANNIVERSARY! The Moth,velour 9 year anniversary! the moth,1
As We Speak,as we speak,Echo Mind,echo mind,1
As We Speak,as we speak,Jupiter Suit,jupiter suit,1
Echo Mind,echo mind,Jupiter Suit,jupiter suit,1
Batty Blue,batty blue,The Medusa Collective Presents: Baby Ghosts,the medusa collective presents: baby ghosts,1
Blue Aces,blue aces,Les Femmes De Velour: Luna Lune,les femmes de velour: luna lune,1
Blue Aces,blue aces,Kit Fox,kit fox,1
Les Femmes De Velour: Gils,les femmes de velour: gils,Tess Comrie,tess comrie,1
Diatom,diatom,Tess Comrie,tess comrie,1
Diatom,diatom,Les Femmes De Velour: Gils,les femmes de velour: gils,1
Night Wings,night wings,Tess Comrie,tess comrie,1
Les Femmes De Velour: Gils,les femmes de velour: gils,Night Wings,night wings,1
Diatom,diatom,Night Wings,night wings,1
Carlos Viitanen,carlos viitanen,Michael Barrow,michael barrow,1
Acoustic Showcase: Eric Danielson,acoustic showcase: eric danielson,Carlos Viitanen,carlos viitanen,1
Acoustic Showcase: Eric Danielson,acoustic showcase: eric danielson,Michael Barrow,michael barrow,1
Carlos Viitanen,carlos viitanen,Tommy Gunn,tommy gunn,1
Michael Barrow,michael barrow,Tommy Gunn,tommy gunn,1
Acoustic Showcase: Eric Danielson,acoustic showcase: eric danielson,Tommy Gunn,tommy gunn,1
Brumby,brumby,Paul Clonts,paul clonts,1
Grizzly Goat,grizzly goat,Paul Clonts,paul clonts,1
Brumby,brumby,Grizzly Goat,grizzly goat,1
Daniel Hanks,daniel hanks,Paul Clonts,paul clonts,1
Brumby,brumby,Daniel Hanks,daniel hanks,1
Daniel Hanks,daniel hanks,Grizzly Goat,grizzly goat,1
Cera Gibson,cera gibson,Emily Bea,emily bea,1
The Medusa Collective Presents: Baby Ghosts,the medusa collective presents: baby ghosts,Violettas,violettas,1
Batty Blue,batty blue,Violettas,violettas,1
Emily Brown,emily brown,June Cat,june cat,1
Emily Brown,emily brown,Flannel Graph,flannel graph,1
Oceanear,oceanear,Toy Bombs,toy bombs,1
Faraday Le Soleil,faraday le soleil,"Red Yeti ""CD Release","red yeti ""cd release",1
Coma Pilot,coma pilot,Kindred Dead,kindred dead,1
Coma Pilot,coma pilot,"The Fellows ""CD Release","the fellows ""cd release",1
Kindred Dead,kindred dead,"The Fellows ""CD Release","the fellows ""cd release",1
John Hancock,john hancock,Maxwell Hughes,maxwell hughes,1
Echo Dog,echo dog,Maxwell Hughes,maxwell hughes,1
Echo Dog,echo dog,John Hancock,john hancock,1
Jillian Innes,jillian innes,Richie Kissinger,richie kissinger,1
Jillian Innes,jillian innes,Ryan Innes,ryan innes,1
Richie Kissinger,richie kissinger,Ryan Innes,ryan innes,1
Blue Wavers,blue wavers,"Red Yeti ""CD Release","red yeti ""cd release",1
Blue Wavers,blue wavers,Faraday Le Soleil,faraday le soleil,1
Blue Wavers,blue wavers,Queenadilla,queenadilla,1
Chadgib,chadgib,St. Charles,st. charles,1
Queenadilla,queenadilla,"Red Yeti ""CD Release","red yeti ""cd release",1
Faraday Le Soleil,faraday le soleil,Queenadilla,queenadilla,1
Bat Manors,bat manors,Bright Whistles,bright whistles,1
Bright Whistles,bright whistles,Scott Bowden,scott bowden,1
Bat Manors,bat manors,Scott Bowden,scott bowden,1
Hollow Bodies,hollow bodies,NED,ned,1
Hollow Bodies,hollow bodies,Silver Fortune,silver fortune,1
NED,ned,Silver Fortune,silver fortune,1
Mister Smith,mister smith,The New Electric Sound,the new electric sound,1
Mister Smith,mister smith,the Wild Ones,the wild ones,1
The New Electric Sound,the new electric sound,the Wild Ones,the wild ones,1
POLYTYPE,polytype,St. Charles,st. charles,1
Coral Bones,coral bones,St. Charles,st. charles,1
June Cat,june cat,The National Parks,the national parks,1
Danger Kids,danger kids,South Paw,south paw,1
The Blaqks,the blaqks,Wild Apples,wild apples,1
Brumby,brumby,Mortigi Tempo,mortigi tempo,1
Mortigi Tempo,mortigi tempo,The Blaqks,the blaqks,1
Mortigi Tempo,mortigi tempo,Wild Apples,wild apples,1
Gypsy Cab,gypsy cab,Wyatt Maxwell,wyatt maxwell,1
Queenadilla,queenadilla,Wyatt Maxwell,wyatt maxwell,1
Blue Skyes,blue skyes,Paula Bravo,paula bravo,1
Dana Sorenson,dana sorenson,Monthly Acoustic Showcase: Ete,monthly acoustic showcase: ete,1
Claire Elise,claire elise,Monthly Acoustic Showcase: Ete,monthly acoustic showcase: ete,1
Claire Elise,claire elise,Dana Sorenson,dana sorenson,1
Mr. Smith,mr. smith,"Solarsuit ""CD Release","solarsuit ""cd release",1
South Paw,south paw,The Weekenders,the weekenders,1
Chadgib,chadgib,POLYTYPE,polytype,1
Danger Kids,danger kids,The Weekenders,the weekenders,1
Johanna Johanna,johanna johanna,South Paw,south paw,1
Danger Kids,danger kids,Johanna Johanna,johanna johanna,1
Johanna Johanna,johanna johanna,The Weekenders,the weekenders,1
June Cat,june cat,Ocean Commotion,ocean commotion,1
JP Haynie,jp haynie,Tess Comrie,tess comrie,1
Sun House,sun house,The Echo Chorus,the echo chorus,1
"MIDEAU ""Special Acoustic Show","mideau ""special acoustic show",Sun House,sun house,1
"MIDEAU ""Special Acoustic Show","mideau ""special acoustic show",The Echo Chorus,the echo chorus,1
Chadgib,chadgib,Coral Bones,coral bones,1
Coral Bones,coral bones,POLYTYPE,polytype,1
Mad Max,mad max,Mister Smith,mister smith,1
Strange Family,strange family,Sun House,sun house,1
Ferocious Oaks,ferocious oaks,Matt Weidauer,matt weidauer,1
Active Strand,active strand,Lovecapades,lovecapades,1
Davey,davey,John Allred,john allred,1
Adam Derfler,adam derfler,John Allred,john allred,1
Adam Derfler,adam derfler,Davey,davey,1
I/O,i/o,"Richie Kissinger ""EP Release","richie kissinger ""ep release",1
Lexington Heights,lexington heights,Synergy,synergy,1
Lexington Heights,lexington heights,The Kings Solar,the kings solar,1
Synergy,synergy,The Kings Solar,the kings solar,1
Caleb Blood,caleb blood,Lovecapades,lovecapades,1
Bronze Museum,bronze museum,Caleb Blood,caleb blood,1
Bronze Museum,bronze museum,Lovecapades,lovecapades,1
Active Strand,active strand,Caleb Blood,caleb blood,1
Active Strand,active strand,Bronze Museum,bronze museum,1
Ferocious Oaks,ferocious oaks,The Red Six,the red six,1
Faith Johnson,faith johnson,Luna Lune,luna lune,1
Blue Aces,blue aces,Luna Lune,luna lune,1
Allie Holman,allie holman,Kitfox,kitfox,1
Allie Holman,allie holman,Sarah A. Degraw,sarah a. degraw,1
Kitfox,kitfox,Sarah A. Degraw,sarah a. degraw,1
Allie Holman,allie holman,Les Femmes De Velour: The Echo Chorus,les femmes de velour: the echo chorus,1
Kitfox,kitfox,Les Femmes De Velour: The Echo Chorus,les femmes de velour: the echo chorus,1
Les Femmes De Velour: The Echo Chorus,les femmes de velour: the echo chorus,Sarah A. Degraw,sarah a. degraw,1
Colby Stead,colby stead,The National Parks,the national parks,1
Cameron the Public,cameron the public,Oceanear,oceanear,1
Cameron the Public,cameron the public,Toy Bombs,toy bombs,1
John Lane,john lane,The Sash,the sash,1
"Coin In the Sea ""CD Release","coin in the sea ""cd release",John Lane,john lane,1
"Coin In the Sea ""CD Release","coin in the sea ""cd release",The Sash,the sash,1
Jessica Bassett,jessica bassett,Wes Kirkpatrick,wes kirkpatrick,1
Matt Weidauer,matt weidauer,The Red Six,the red six,1
Adding Machines,adding machines,Ferocious Oaks,ferocious oaks,1
Adding Machines,adding machines,Matt Weidauer,matt weidauer,1
Adding Machines,adding machines,The Red Six,the red six,1
Amber Sky,amber sky,Jordan Reynolds,jordan reynolds,1
Amber Sky,amber sky,Brian P. Hansen,brian p. hansen,1
Brian P. Hansen,brian p. hansen,Jordan Reynolds,jordan reynolds,1
Amber Sky,amber sky,Paul Travis,paul travis,1
Jordan Reynolds,jordan reynolds,Paul Travis,paul travis,1
Brian P. Hansen,brian p. hansen,Paul Travis,paul travis,1
Brinton Jones,brinton jones,Jay W. Henderson,jay w. henderson,1
Brinton Jones,brinton jones,Timmy The Teeth,timmy the teeth,1
Isaac Russell,isaac russell,Jay W. Henderson,jay w. henderson,1
Isaac Russell,isaac russell,Timmy The Teeth,timmy the teeth,1
Brinton Jones,brinton jones,Isaac Russell,isaac russell,1
Kenz Hall,kenz hall,Pando,pando,1
South Paw,south paw,Wandering Woods,wandering woods,1
Jack Pines,jack pines,Wandering Woods,wandering woods,1
South Paw,south paw,Steel Born Buffalo,steel born buffalo,1
Steel Born Buffalo,steel born buffalo,Wandering Woods,wandering woods,1
Jack Pines,jack pines,Steel Born Buffalo,steel born buffalo,1
Luna Lune,luna lune,Old,old,1
Luna Lune,luna lune,Young,young,1
Brumby,brumby,Wild Apples,wild apples,1
Brumby,brumby,The Blaqks,the blaqks,1
King Niko,king niko,St Charles $5 donation,st charles $5 donation,1
Foreign Figures,foreign figures,Violet Waves,violet waves,1
Coin In the Sea,coin in the sea,Cory Mon,cory mon,1
Garret Williams,garret williams,Shelby Earl w/Adam Klopp,shelby earl w/adam klopp,1
Garret Williams,garret williams,Timmy The Teeth,timmy the teeth,1
Shelby Earl w/Adam Klopp,shelby earl w/adam klopp,Timmy The Teeth,timmy the teeth,1
Stacy Stringham,stacy stringham,The King's Solar,the king's solar,1
"The Echo Era ""CD Release","the echo era ""cd release",The King's Solar,the king's solar,1
Stacy Stringham,stacy stringham,"The Echo Era ""CD Release","the echo era ""cd release",1
Ocean Commotion,ocean commotion,Synergy,synergy,1
Deadtooth,deadtooth,Synergy,synergy,1
Deadtooth,deadtooth,Ocean Commotion,ocean commotion,1
Emily Bea,emily bea,Foreign Figures,foreign figures,1
Emily Bea,emily bea,Violet Waves,violet waves,1
Mount Saint,mount saint,The New Electric Sound,the new electric sound,1
Static Waves,static waves,Wasatch,wasatch,1
Mikkia Osman,mikkia osman,My Fair Fiend,my fair fiend,1
Alarm Call,alarm call,My Fair Fiend,my fair fiend,1
Alarm Call,alarm call,Mikkia Osman,mikkia osman,1
Claire Elise,claire elise,Sun House,sun house,1
Bravo,bravo,The Connection,the connection,1
Red Yeti,red yeti,The Connection,the connection,1
Bravo,bravo,Red Yeti,red yeti,1
Aimee Vargas B-day show! VanLadyLove,aimee vargas b-day show! vanladylove,The Connection,the connection,1
Aimee Vargas B-day show! VanLadyLove,aimee vargas b-day show! vanladylove,Bravo,bravo,1
Aimee Vargas B-day show! VanLadyLove,aimee vargas b-day show! vanladylove,Red Yeti,red yeti,1
Coin In the Sea,coin in the sea,Peter Harper,peter harper,1
Efficiency,efficiency,The Jordan Brothers,the jordan brothers,1
Coma Pilot,coma pilot,Efficiency,efficiency,1
Efficiency,efficiency,Paper Guns,paper guns,1
Emily Brown,emily brown,The National Parks,the national parks,1
Flannel Graph,flannel graph,The National Parks,the national parks,1
Seve vs Evan,seve vs evan,The New Electric Sound,the new electric sound,1
Seve vs Evan,seve vs evan,The Red on Black,the red on black,1
The New Electric Sound,the new electric sound,The Red on Black,the red on black,1
Brumby,brumby,Go Suburban,go suburban,1
Go Suburban,go suburban,Steel Born Buffalo,steel born buffalo,1
Brumby,brumby,Steel Born Buffalo,steel born buffalo,1
"Emily Bea ""Ep Release","emily bea ""ep release",Kira Stone,kira stone,1
"Emily Bea ""Ep Release","emily bea ""ep release",Kat Roemer,kat roemer,1
Kat Roemer,kat roemer,Kira Stone,kira stone,1
Richie Kissinger,richie kissinger,Salazar,salazar,1
Eric Danielson,eric danielson,Richie Kissinger,richie kissinger,1
Eric Danielson,eric danielson,Salazar,salazar,1
John Allred,john allred,Scott Shepard,scott shepard,1
Drew Rindlisbacher,drew rindlisbacher,Violet Waves,violet waves,1
Queenadilla,queenadilla,Red Yeti,red yeti,1
Jack Pines,jack pines,Mountainears,mountainears,1
Mortigi Tempo,mortigi tempo,Mountainears,mountainears,1
Jack Pines,jack pines,Mortigi Tempo,mortigi tempo,1
Coma Pilot,coma pilot,Paper Guns,paper guns,1
Paper Guns,paper guns,The Jordan Brothers,the jordan brothers,1
Coma Pilot,coma pilot,The Jordan Brothers,the jordan brothers,1
Pando,pando,The Sash,the sash,1
Coral Bones,coral bones,Mount Saint,mount saint,1
Jerome Holloway,jerome holloway,Joshua James,joshua james,1
Echo Dog,echo dog,Soles,soles,1
"ALLRED ""10yr Anniversary"" (Acoustic Show","allred ""10yr anniversary"" (acoustic show",Tess Comrie,tess comrie,1
"ALLRED ""10yr Anniversary"" (Acoustic Show","allred ""10yr anniversary"" (acoustic show",limited seating),limited seating),1
Ben Swisher,ben swisher,Donnie Bonelli,donnie bonelli,1
Ben Swisher,ben swisher,Mike Sempert,mike sempert,1
Donnie Bonelli,donnie bonelli,Mike Sempert,mike sempert,1
"Blue Wavers ""EP Release","blue wavers ""ep release",The Great White Buffalo,the great white buffalo,1
The Great White Buffalo,the great white buffalo,The House Guests,the house guests,1
"Blue Wavers ""EP Release","blue wavers ""ep release",The House Guests,the house guests,1
Kevin Long,kevin long,Lotte Kestner,lotte kestner,1
John Lane,john lane,Mia Grace,mia grace,1
Emily Brown,emily brown,Sun House,sun house,1
Lake Island,lake island,Tess Comrie,tess comrie,1
Coral Bones,coral bones,The New Electric Sound,the new electric sound,1
Tess Comrie,tess comrie,Timmy The Teeth,timmy the teeth,1
19 SEAN HAYES,19 sean hayes,Cory Mon,cory mon,1
Seve vs Evan,seve vs evan,Star-Off,star-off,1
Coral Bones,coral bones,Star-Off,star-off,1
Deadtooth,deadtooth,Star-Off,star-off,1
Danger Kids,danger kids,Red Yeti,red yeti,1
Danger Kids,danger kids,Synergy,synergy,1
Red Yeti,red yeti,Synergy,synergy,1
Danger Kids,danger kids,Kathleen Frewin,kathleen frewin,1
Kathleen Frewin,kathleen frewin,Red Yeti,red yeti,1
Kathleen Frewin,kathleen frewin,Synergy,synergy,1
limited seating),limited seating),Tess Comrie,tess comrie,1
St Charles,st charles,This is Anfield,this is anfield,1
Elizabeth Holden,elizabeth holden,Kevin Edwards,kevin edwards,1
Denys Fedotov,denys fedotov,Kevin Edwards,kevin edwards,1
Mount Saint,mount saint,Swimm,swimm,1
Swimm,swimm,The New Electric Sound,the new electric sound,1
Eric Michaels,eric michaels,The May Reunion,the may reunion,1
Eric Michaels,eric michaels,Jodie Skidmore,jodie skidmore,1
Jodie Skidmore,jodie skidmore,The May Reunion,the may reunion,1
Coin In the Sea,coin in the sea,Eric Michaels,eric michaels,1
Coin In the Sea,coin in the sea,The May Reunion,the may reunion,1
Coin In the Sea,coin in the sea,Jodie Skidmore,jodie skidmore,1
"JAY WILLIAM HENDERSON ""Album Release"" + ISAAC RUSSELL","jay william henderson ""album release"" + isaac russell",Sammy Brue,sammy brue,1
